Ticker,Declared Date,Payable Date,Ex Date,Distrib Amount,Income,Long Gain,Short Gain,ROC
DNI,2016-6-1,2016-6-30,2016-6-15,0.25,0.0475,,0.2025,
DNI,2016-3-1,2016-3-31,2016-3-11,0.25,0.0475,,0.2025,
DNI,2015-12-1,2015-12-30,2015-12-11,0.408,0.07752,,0.33048,
DNI,2015-9-1,2015-9-30,2015-9-14,0.408,0.23256,,0.17544,
DNI,2015-6-1,2015-6-30,2015-6-11,0.408,0.22032,,0.18768,
DNI,2015-3-2,2015-3-31,2015-3-12,0.408,0.22032,,0.18768,
DNI,2014-12-1,2014-12-30,2014-12-11,0.408,0.408,,,
DNI,2014-9-2,2014-9-30,2014-9-12,0.408,0.408,,,
DNI,2014-6-2,2014-6-30,2014-6-12,0.408,0.408,,,
DNI,2014-3-3,2014-3-31,2014-3-13,0.408,0.408,,,
DNI,2013-12-2,2013-12-30,2013-12-13,0.408,0.29095,,0.11705,
DNI,2013-9-3,2013-9-30,2013-9-13,0.408,0.07344,,0.33456,
GOF,2017-3-1,2017-3-31,2017-3-13,0.1821,,,,
GOF,2017-2-1,2017-2-28,2017-2-13,0.1821,,,,
GOF,2017-1-3,2017-1-31,2017-1-11,0.1821,,,,
GOF,2016-12-1,2016-12-30,2016-12-13,0.1821,,,,
GOF,2016-11-1,2016-11-30,2016-11-10,0.1821,0.1212,,,
GOF,2016-10-3,2016-10-31,2016-10-12,0.1821,0.1522,,0.0073,
GOF,2016-9-1,2016-9-30,2016-9-13,0.1821,0.1487,,,
GOF,2016-8-1,2016-8-31,2016-8-11,0.1821,0.1508,,,
GOF,2016-7-1,2016-7-29,2016-7-13,0.1821,0.1553,,,
GOF,2016-6-1,2016-6-30,2016-6-13,0.1821,0.1267,,,
GOF,2016-5-2,2016-5-31,2016-5-11,0.1821,0.113,,0.0691,
GOF,2016-4-1,2016-4-29,2016-4-13,0.1821,0.1301,,0.052,
GOF,2016-3-1,2016-3-31,2016-3-11,0.1821,0.1531,,0.029,
GOF,2016-2-1,2016-2-29,2016-2-10,0.1821,,0.1821,,
GOF,2016-1-4,2016-1-29,2016-1-13,0.1821,,0.1821,,
GOF,2015-12-1,2015-12-31,2015-12-11,0.1821,,0.1821,,
GOF,2015-11-2,2015-11-30,2015-11-10,0.1821,,0.1821,,
GOF,2015-10-1,2015-10-30,2015-10-13,0.1821,0.1821,,,
GOF,2015-9-1,2015-9-30,2015-9-11,0.1821,0.1821,,,
GOF,2015-8-3,2015-8-31,2015-8-12,0.1821,0.1821,,,
GOF,2015-7-1,2015-7-31,2015-7-13,0.1821,0.1821,,,
GOF,2015-6-1,2015-6-30,2015-6-11,0.1821,0.1821,,,
GOF,2015-5-1,2015-5-29,2015-5-13,0.1821,0.1194,,,
GOF,2015-4-1,2015-4-30,2015-4-13,0.1821,0.1194,,,
GOF,2015-3-2,2015-3-31,2015-3-11,0.1821,0.1194,,,
GOF,2015-2-2,2015-2-27,2015-2-11,0.1821,0.0807,,,
GOF,2015-1-2,2015-1-30,2015-1-13,0.1821,0.1418,,,
GOF,2014-12-1,2014-12-31,2014-12-11,0.1821,0.0155,0.1249,,
GOF,2014-11-3,2014-11-28,2014-11-12,0.1821,0.0494,,,
GOF,2014-10-1,2014-10-31,2014-10-10,0.1821,0.057,,,
GOF,2014-9-2,2014-9-30,2014-9-11,0.1821,0.093,,,
GOF,2014-8-1,2014-8-29,2014-8-13,0.1821,0.093,,,
GOF,2014-7-1,2014-7-31,2014-7-11,0.1821,0.093,,,
GOF,2014-6-2,2014-6-30,2014-6-11,0.1821,0.093,,,
GOF,2014-5-1,2014-5-30,2014-5-13,0.1821,0.1821,,,
GOF,2014-4-1,2014-4-30,2014-4-11,0.1821,0.11,,,
GOF,2014-3-3,2014-3-31,2014-3-12,0.1821,0.1149,,,
GOF,2014-2-4,2014-2-28,2014-2-12,0.1821,0.086,,,
GOF,2014-1-2,2014-1-31,2014-1-13,0.1821,0.178,,,
GOF,2013-12-2,2013-12-31,2013-12-11,0.1821,,0.1821,,
GOF,2013-11-1,2013-11-29,2013-11-13,0.1821,,0.1821,,
GOF,2013-10-1,2013-10-31,2013-10-10,0.1821,0.14275,,,
GOF,2013-9-3,2013-9-30,2013-9-11,0.1821,0.14273,,,
GOF,2013-8-1,2013-8-30,2013-8-13,0.1821,0.14272,,,
GOF,2013-7-1,2013-7-31,2013-7-11,0.1821,0.1733,,,
GOF,2013-6-3,2013-6-28,2013-6-12,0.1821,0.1796,,,
GOF,2013-5-1,2013-5-31,2013-5-13,0.1821,0.1251,,,
GOF,2013-4-1,2013-4-30,2013-4-11,0.1694,0.1276,,,
GOF,2013-3-1,2013-3-28,2013-3-13,0.1694,0.0857,,,
GOF,2013-2-1,2013-2-28,2013-2-13,0.1694,0.0884,,,
GOF,2012-12-3,2012-12-31,2012-12-12,0.1694,,0.1694,,
GOF,2012-12-3,2013-1-31,2013-1-11,0.1694,0.1057,,,
GOF,2012-11-1,2012-11-30,2012-11-13,0.154,0.09611,,,
GOF,2012-10-1,2012-10-31,2012-10-11,0.154,0.09611,,,
GOF,2012-9-4,2012-9-28,2012-9-12,0.154,0.09611,,,
GOF,2012-8-1,2012-8-31,2012-8-13,0.154,0.09611,,,
GOF,2012-7-2,2012-7-31,2012-7-11,0.154,0.09611,,,
GOF,2012-6-1,2012-6-29,2012-6-13,0.154,0.09611,,,
GOF,2012-5-1,2012-5-31,2012-5-11,0.154,0.099,,,
GOF,2012-4-2,2012-4-30,2012-4-11,0.154,0.105,,,
GOF,2012-3-1,2012-3-30,2012-3-13,0.154,0.129,,,
GOF,2012-2-1,2012-2-29,2012-2-13,0.154,0.096,,,
GOF,2012-1-3,2012-1-31,2012-1-11,0.154,0.128,,,
GOF,2011-12-1,2011-12-30,2011-12-13,0.154,0.154,,,
GOF,2011-11-1,2011-11-30,2011-11-10,0.154,0.154,,,
GOF,2011-10-3,2011-10-31,2011-10-12,0.154,0.154,,,
GOF,2011-9-1,2011-9-30,2011-9-13,0.154,0.154,,,
GOF,2011-8-1,2011-8-31,2011-8-11,0.154,0.154,,,
GOF,2011-7-1,2011-7-29,2011-7-13,0.154,0.154,,,
GOF,2011-6-1,2011-6-30,2011-6-13,0.154,0.135,,,
GOF,2011-5-2,2011-5-31,2011-5-11,0.154,0.135,,,
GOF,2011-4-1,2011-4-29,2011-4-13,0.154,0.115,,,
GOF,2011-3-1,2011-3-31,2011-3-11,0.154,0.134,,,
